article_id,journal_name,cluster
88652,ACM COMPUTING SURVEYS,21
88653,ACM COMPUTING SURVEYS,36
88654,ACM COMPUTING SURVEYS,24
88655,ACM COMPUTING SURVEYS,28
88656,ACM COMPUTING SURVEYS,36
88657,ACM COMPUTING SURVEYS,36
88658,ACM COMPUTING SURVEYS,36
88659,ACM COMPUTING SURVEYS,24
88660,ACM COMPUTING SURVEYS,16
88661,ACM COMPUTING SURVEYS,1
88662,ACM COMPUTING SURVEYS,5
88663,ACM COMPUTING SURVEYS,43
88664,ACM COMPUTING SURVEYS,34
88665,ACM COMPUTING SURVEYS,21
88666,ACM COMPUTING SURVEYS,18
88667,ACM COMPUTING SURVEYS,41
88668,ACM COMPUTING SURVEYS,41
88669,ACM COMPUTING SURVEYS,30
88670,ACM COMPUTING SURVEYS,1
88671,ACM COMPUTING SURVEYS,13
88672,ACM COMPUTING SURVEYS,13
88673,ACM COMPUTING SURVEYS,25
88674,ACM COMPUTING SURVEYS,5
88675,ACM COMPUTING SURVEYS,13
88676,ACM COMPUTING SURVEYS,18
88677,ACM COMPUTING SURVEYS,8
88678,ACM COMPUTING SURVEYS,36
88679,ACM COMPUTING SURVEYS,31
88680,ACM COMPUTING SURVEYS,36
88681,ACM COMPUTING SURVEYS,41
88682,ACM COMPUTING SURVEYS,25
88683,ACM COMPUTING SURVEYS,14
88684,ACM COMPUTING SURVEYS,20
88685,ACM COMPUTING SURVEYS,36
88686,ACM COMPUTING SURVEYS,45
88687,ACM COMPUTING SURVEYS,43
88688,ACM COMPUTING SURVEYS,11
88689,ACM COMPUTING SURVEYS,14
88690,ACM COMPUTING SURVEYS,32
88691,ACM COMPUTING SURVEYS,4
88692,ACM COMPUTING SURVEYS,41
88693,ACM COMPUTING SURVEYS,32
88694,ACM COMPUTING SURVEYS,36
88695,ACM COMPUTING SURVEYS,23
88696,ACM COMPUTING SURVEYS,34
88697,ACM COMPUTING SURVEYS,19
88698,ACM COMPUTING SURVEYS,25
88699,ACM COMPUTING SURVEYS,42
88700,ACM COMPUTING SURVEYS,36
88701,ACM COMPUTING SURVEYS,36
88702,ACM COMPUTING SURVEYS,36
88703,ACM COMPUTING SURVEYS,21
88704,ACM COMPUTING SURVEYS,11
88705,ACM COMPUTING SURVEYS,21
88706,ACM COMPUTING SURVEYS,15
88707,ACM COMPUTING SURVEYS,22
88708,ACM COMPUTING SURVEYS,34
88709,ACM COMPUTING SURVEYS,16
88710,ACM COMPUTING SURVEYS,23
