cluster,size,top_terms
0,118,"history philosophy, history, philosophy, theory history, philosophy history, philosophy mathematics, theory, mathematics, applied history, cipher"
1,391,"routing, hoc, ad hoc, ad, networks, hoc networks, protocols, telecommunications, protocol, network"
2,522,"telecommunications, telecommunications engineering, electronic telecommunications, engineering telecommunications, electrical, electronic, engineering electrical, electrical electronic, circuit, frequency"
3,316,"feature, selection, feature selection, features, classification, feature extraction, extraction, classifier, eeg, algorithm"
4,388,"trust, perceived, acceptance, technology, online, commerce, adoption, technology acceptance, consumer, library"
5,898,"hardware, architecture, memory, performance, hardware architecture, parallel, design, architecture software, software, chip"
6,352,"optimization, swarm, particle, algorithm, particle swarm, pso, swarm optimization, search, algorithms, colony"
7,729,"biology, computational biology, mathematical computational, mathematical, computational, molecular, protein, gene, molecular biology, biochemistry"
8,634,"network, traffic, networks, optical, telecommunications, optics telecommunications, bandwidth, optics, architecture, service"
9,841,"element, finite, finite element, numerical, flow, equations, mechanics, fluid, mesh, interdisciplinary"
10,540,"neural, neural networks, networks, neural network, network, artificial, stability, time, learning, neurons"
11,416,"music, detection, intrusion, intrusion detection, musical, anomaly, music music, audio, interdisciplinary music, anomaly detection"
12,411,"decision, decision making, making, fuzzy, linguistic, criteria, group decision, operators, aggregation, preference"
13,552,"language, languages, programming, software, code, linguistics, semantics, verification, program, software engineering"
14,364,"ontology, semantic, ontologies, knowledge, owl, web, reasoning, domain, semantic web, intelligence"
15,696,"channel, telecommunications, spectrum, channels, interference, power, capacity, fading, mimo, radio"
16,613,"learning, classification, machine, machine learning, support vector, classifiers, vector, training, elm, prediction"
17,606,"business, management, process, workflow, library, knowledge, enterprise, business process, erp, organizational"
18,638,"virtual, visual, visualization, human, reality, motion, imaging photographic, photographic technology, photographic, imaging"
19,446,"scheduling, grid, time, real time, resource, task, real, tasks, job, computing"
20,766,"image, images, segmentation, algorithm, color, imaging, texture, transform, visual, watermarking"
21,650,"optimization, algorithm, search, algorithms, genetic, evolutionary, objective, genetic algorithm, evolutionary algorithms, local search"
22,385,"social, social media, media, social networks, social network, networks, online, network, community, users"
23,561,"user, mobile, users, context, recommender, design, recommendation, location, context aware, aware"
24,636,"logic, semantics, calculus, programs, theory, checking, reasoning, theory logic, verification, logic technology"
25,593,"sensor, sensor networks, wireless, wireless sensor, networks, energy, network, nodes, telecommunications, wsns"
26,466,"cloud, computing, cloud computing, service, resource, services, resources, security, storage, mobile"
27,272,"iot, internet, things, internet things, smart, things iot, devices, telecommunications, security, technologies"
28,335,"web, semantic, semantic web, search, pages, user, services, users, linked, sites"
29,416,"control, automation control, automation, controller, stability, feedback, robot, time, nonlinear, fuzzy"
30,312,"medical, informatics, medical informatics, health, clinical, patient, care, patients, imaging, segmentation"
31,373,"education, learning, educational, students, education educational, student, interdisciplinary education, teaching, educational education, teachers"
32,737,"software, development, software engineering, design, quality, requirements, software development, code, project, process"
33,777,"mathematics, applied mathematics, mathematics applied, linear, codes, applied, matrix, functions, algorithm, theory"
34,490,"recognition, speech, face, facial, human, emotion, features, speech recognition, face recognition, feature"
35,436,"automata, quantum, cellular, cellular automata, theory, mathematics, finite, words, complexity, rules"
36,729,"mining, query, clustering, search, retrieval, queries, algorithms, text, databases, time"
37,350,"operations management, operations, management, management mathematics, optimization, mathematics, engineering operations, programming, algorithm, applied operations"
38,394,"energy, power, consumption, energy consumption, energy efficiency, efficiency, harvesting, energy harvesting, wireless, telecommunications"
39,293,"service, services, web, web services, web service, composition, qos, service composition, service oriented, oriented"
40,266,"video, content, streaming, quality, multimedia, coding, videos, motion, frame, mpeg"
41,651,"security, authentication, scheme, attack, key, attacks, protocol, secure, encryption, privacy"
42,264,"test, testing, software, fault, test cases, generation, test case, coverage, software testing, faults"
43,535,"graph, graphs, algorithm, algorithms, vertex, time, log, set, vertices, approximation"
44,389,"fuzzy, rough, sets, set, fuzzy sets, rough set, fuzzy logic, logic, rough sets, interval"
45,514,"agent, agents, intelligence, artificial, multi agent, cognitive, artificial intelligence, robots, robot, human"
