k,silhouette_score,inertia,davies_bouldin_score,calinski_harabasz_score,min_cluster_size,median_cluster_size,max_cluster_size,clusters_under_150,clusters_under_100
2,0.04486795236287507,18404.086666274467,4.818767843612725,988.3752347297298,11187,11530.5,11874,0,0
4,0.05722931576063803,17201.54400395595,3.915872178717319,889.7576687157754,4099,5719.5,7523,0,0
6,0.07116337515141398,16335.469446976162,3.205327725979498,806.5763823084277,834,3983.0,7515,0,0
8,0.08253252040058062,15525.773813272226,2.9817597584693347,777.8690704006494,830,2654.5,5621,0,0
10,0.08960943929685763,14839.342004899425,2.7480799482241034,751.4165197530033,805,1817.0,5128,0,0
12,0.09466422227820556,14250.68083982886,2.826156134305395,726.6904606579008,808,1588.5,4451,0,0
14,0.11004760380495124,13670.325217680058,2.530600435840543,716.2038025683776,686,1553.0,3143,0,0
16,0.12272831520582192,13077.431226860432,2.458321295004559,718.4479382570266,787,1383.5,2532,0,0
18,0.13232262851257012,12620.662155936854,2.3381843927879618,705.8691690248297,677,1210.0,2203,0,0
20,0.13853063407038918,12212.045087113613,2.2561437136897493,693.2185284447763,416,1115.0,2086,0,0
22,0.14834128283130643,11876.899996336895,2.200187353569299,675.7982325202235,497,1056.0,1595,0,0
24,0.14889622659209448,11555.50820978087,2.140752197671618,661.9971820155104,413,995.5,1379,0,0
26,0.1560830001011979,11281.113207856864,2.1187711358697308,646.2086842095568,400,911.5,1515,0,0
28,0.16245873272998063,10983.315526500131,2.0323143453474724,637.641173425163,293,799.5,1231,0,0
30,0.16515051652916146,10763.059916705563,2.091745955998291,622.014085029155,401,777.0,1157,0,0
32,0.15905038263754595,10519.128301345807,1.9950739461947586,612.5526350387054,277,739.5,1119,0,0
34,0.1754139554767927,10286.377207152538,1.912727594410579,604.1863420029259,278,718.5,1199,0,0
36,0.172936934810039,10096.533991098888,1.9157252007761971,592.691798949265,260,641.0,1221,0,0
38,0.17773491804528874,9821.283993574512,1.9864528950451177,593.7560719130871,269,580.0,1072,0,0
40,0.1799196048485615,9609.11523228615,1.7958008209127416,588.7283991406811,151,570.5,1010,0,0
42,0.18151267237055282,9446.754802898788,1.8370440691417738,579.2345049936796,270,509.0,964,0,0
44,0.18585168828009638,9214.36327082069,1.7508279219347755,579.6733703615297,116,523.5,908,1,0
45,0.1815919117321102,9174.053817540234,1.7661309674182444,571.2617541385812,150,492.0,937,0,0
46,0.1848187097665599,9058.067181269234,1.7483661941237068,572.2437401666899,118,478.0,898,1,0
48,0.18639632137366208,8930.956005690277,1.7651086265705829,562.6114728010022,152,475.5,886,0,0
50,0.18964696725756533,8747.151162970307,1.68872356080385,560.8075446074005,117,420.0,851,1,0
52,0.19002185837542324,8613.576214210423,1.704767596053882,554.1195149444333,116,428.5,775,2,0
54,0.19294795013235513,8477.77407268446,1.6953400058690211,548.657113002314,116,381.0,890,2,0
56,0.19136610938662665,8394.5356042036,1.6928122394920604,538.0495725685747,116,386.5,825,3,0
58,0.18826116352294475,8267.017607480808,1.6988314312686985,533.3578666026896,117,365.5,796,2,0
60,0.18627819247366428,8169.780634625713,1.717606802735505,526.0054342392286,116,367.5,725,1,0
62,0.1912884225916245,8044.512225265983,1.681732949751103,522.5079018285751,114,358.0,717,3,0
64,0.18551472124630772,7996.022880140008,1.715219696719228,511.15770040301743,112,332.5,758,4,0
66,0.18840805079804587,7889.736465890117,1.7060894708947898,506.8260702493409,114,327.5,719,4,0
68,0.187976238866833,7829.021604319909,1.7187521017688743,498.12838550513817,115,334.0,749,4,0
70,0.18957494508418204,7752.148183480153,1.7442876073463143,491.74802909636054,115,308.5,721,3,0
72,0.18723867530744098,7704.412738222447,1.7569289249663365,482.82126629921993,110,308.5,721,6,0
74,0.17639336465726912,7646.13523436495,1.797321299195228,475.53131865498176,110,303.5,608,4,0
76,0.1812191465343639,7551.927037295794,1.7581055303320885,472.40672875817836,99,280.0,711,6,1
78,0.18267346720410496,7530.932543945781,1.810908801012532,462.2111226232656,111,273.0,699,4,0
80,0.17491130710273642,7470.620649565408,1.8380857656084715,456.45560047109603,110,276.5,630,7,0
82,0.17707383389024792,7396.739167965351,1.8052181727799201,452.4262599757246,97,269.5,701,8,1
84,0.16334221152369513,7357.793086711282,1.837923341279466,445.28817264241457,114,261.0,538,10,0
86,0.17208834980321458,7340.659404246501,1.859218238420569,436.41863897934036,111,245.5,701,9,0
88,0.16930144382540346,7268.702386146311,1.8663279301657596,433.183634542071,111,259.0,701,10,0
90,0.16990481123721052,7239.860523579001,1.9010776107883285,426.1272914465034,108,243.0,698,13,0
92,0.16250996318248184,7231.575642468271,1.9091926050748735,417.4921642698637,74,245.5,611,12,2
94,0.17259700005005227,7153.717109899659,1.8742862656423782,415.6117933079163,74,237.0,701,14,4
96,0.16197697756534588,7132.936281920573,1.9294637008315163,408.7161416295806,84,237.0,589,17,1
98,0.15552149325806117,7096.787385929684,1.9762963873821384,403.4987591212311,108,230.0,471,13,0
100,0.16468849679246392,7073.646852453496,1.9477460007684997,397.36477824424173,84,219.0,694,18,2
